,actual_label,predicted_label,prob_class_A,prob_class_B,prob_class_C
0,C,C,0.000458802,0.0021386503,0.9974025
1,C,C,0.006776138,0.0007105322,0.99251336
2,B,B,0.00018012214,0.99928916,0.00053064123
3,B,B,5.9546248e-05,0.9999243,1.6143329e-05
4,C,C,3.3873388e-05,3.4613764e-05,0.99993145
5,A,C,0.2679301,0.0005599038,0.73151004
6,A,A,0.9992317,0.0001294254,0.00063885626
7,A,A,0.99984324,8.688395e-05,6.980875e-05
8,C,C,0.00019266234,0.00011944517,0.9996879
9,A,A,0.906376,0.0006997044,0.09292429
10,C,C,2.1510763e-05,1.6084412e-05,0.99996245
11,B,B,7.31863e-05,0.9998919,3.4953628e-05
12,B,B,3.838613e-06,0.9999927,3.5159815e-06
13,A,A,0.9990619,4.446834e-05,0.00089370564
14,B,B,2.846332e-05,0.9999589,1.26255245e-05
15,B,B,4.9168713e-05,0.9998863,6.446804e-05
16,A,C,0.19514073,0.00041433744,0.80444497
17,B,B,1.2342068e-06,0.9999976,1.1354399e-06
18,B,B,1.2459178e-05,0.9999844,3.0545605e-06
19,C,C,0.00019811477,0.00015212716,0.99964976
20,C,C,0.000529021,0.00015178186,0.9993192
21,B,B,2.7446931e-05,0.99996626,6.3138777e-06
22,C,C,3.3686274e-06,1.1481039e-05,0.9999851
23,A,A,0.9997658,0.000109309214,0.00012486124
24,C,C,0.0012397466,0.0008186542,0.99794155
25,C,C,0.0005909143,0.00019822994,0.99921083
26,B,B,2.4279402e-06,0.99999666,9.540449e-07
27,B,B,0.00019418204,0.9997819,2.3922994e-05
28,C,C,0.00043349204,0.00020238828,0.9993641
29,A,A,0.99988043,6.218887e-05,5.728424e-05
30,C,C,8.059251e-06,1.5620939e-05,0.9999763
31,A,A,0.99919194,0.00027624113,0.0005318587
32,B,B,0.00018018813,0.99936265,0.00045719757
33,C,C,0.0001418853,0.00035074746,0.9995073
34,C,C,2.8439466e-05,2.6121277e-05,0.9999454
35,B,B,2.4186508e-07,0.9999994,3.021783e-07
36,C,C,0.00015938336,5.0727896e-05,0.9997899
37,A,A,0.99685526,0.00015037671,0.0029944067
38,B,B,2.1974959e-06,0.9999975,3.685003e-07
39,A,A,0.9994143,0.00022824822,0.00035739818
40,A,A,0.99960905,5.7179814e-06,0.0003852142
41,C,C,0.00014923036,3.1942476e-05,0.99981886
42,C,C,8.545512e-05,0.00015276576,0.99976176
43,A,A,0.99969804,0.00020010392,0.00010194298
44,A,A,0.9917795,0.0015640781,0.0066563776
45,A,A,0.99879044,0.00022636494,0.0009832507
46,B,B,0.00028417434,0.9987538,0.00096205785
47,C,C,2.4295035e-05,3.1094278e-05,0.99994457
48,B,B,2.6880255e-06,0.999987,1.0290173e-05
49,B,B,6.2622603e-06,0.9999906,3.0648273e-06
50,C,C,2.9425244e-06,6.0797315e-06,0.99999094
51,B,B,4.649692e-05,0.99973613,0.00021742773
52,B,B,0.00014212454,0.9988207,0.0010370715
53,B,B,1.1127259e-05,0.9999857,3.2349822e-06
54,C,C,3.7191254e-05,4.0733987e-05,0.99992204
55,C,C,8.830504e-05,0.00010859571,0.9998031
56,A,A,0.96215487,0.000131926,0.03771317
57,B,B,3.600403e-05,0.9999585,5.490249e-06
58,A,A,0.99809736,0.0007133766,0.001189218
59,B,B,3.6179623e-05,0.9999515,1.2282258e-05
60,A,A,0.9698608,0.028425952,0.0017133105
61,B,B,0.00020106549,0.997612,0.0021868527
62,B,B,1.14747845e-05,0.99995995,2.8664688e-05
63,B,B,5.2835594e-06,0.9999931,1.6315868e-06
64,A,A,0.99966156,4.007023e-05,0.00029838402
65,B,B,2.580827e-05,0.9999608,1.3321878e-05
66,A,A,0.9945438,0.0019333377,0.0035228007
67,B,B,1.587713e-05,0.9999769,7.3054475e-06
68,C,C,0.00017694038,0.0001345895,0.9996885
69,C,C,3.541692e-05,6.79206e-05,0.99989665
70,A,A,0.9745266,0.024088293,0.00138516
71,B,B,4.5509038e-05,0.99989986,5.460288e-05
72,C,C,5.989847e-06,9.894897e-06,0.99998415
73,C,C,1.7678456e-05,3.0781506e-05,0.9999515
74,A,A,0.9817997,0.017594215,0.00060606934
75,A,A,0.99987435,2.4330193e-05,0.000101326325
76,C,C,2.3324867e-05,8.503175e-05,0.99989164
77,C,C,1.4088498e-05,1.555542e-05,0.9999703
78,B,B,3.3643766e-05,0.99995875,7.63637e-06
79,C,C,0.00017919102,6.883255e-05,0.999752
80,A,A,0.9977881,0.001498668,0.00071314914
81,A,A,0.9994947,5.876689e-05,0.00044657104
82,A,A,0.99996877,1.1773148e-05,1.9423878e-05
83,B,B,5.650136e-07,0.9999994,5.187336e-08
84,B,B,7.0531905e-07,0.99999905,1.8021734e-07
85,B,B,8.063765e-07,0.9999989,2.6333734e-07
86,A,A,0.9999287,3.0613122e-05,4.0670286e-05
87,C,C,0.0053506433,0.00014235303,0.994507
88,B,B,3.2756383e-05,0.998351,0.0016162538
89,B,B,7.0267615e-06,0.99999046,2.463689e-06
90,B,B,2.0186052e-07,0.99999964,6.245843e-08
91,B,B,5.34158e-06,0.99999225,2.4061217e-06
92,C,C,0.005526339,0.00019265873,0.99428105
93,B,B,4.591739e-07,0.9999989,6.314273e-07
94,C,C,7.846017e-05,1.826131e-05,0.9999033
95,A,A,0.9999442,1.8786548e-05,3.6995534e-05
96,B,B,6.8725844e-06,0.99995387,3.927443e-05
97,B,B,6.555859e-05,0.99986184,7.255394e-05
98,C,C,0.011392322,0.00017051546,0.9884371
99,C,C,0.00021353674,0.00027801827,0.9995085
100,A,A,0.99997807,1.7010076e-05,4.869877e-06
101,B,B,3.252396e-05,0.99993587,3.1566382e-05
102,B,B,2.9488847e-05,0.9999591,1.1463782e-05
103,C,C,4.7566606e-05,2.3040302e-05,0.9999294
104,A,A,0.9987445,0.0002068742,0.0010485769
105,C,C,5.2523577e-05,5.468019e-05,0.99989283
106,C,C,7.3476986e-05,7.599681e-05,0.9998505
107,B,B,2.5531843e-05,0.9999001,7.442129e-05
108,B,B,3.295583e-05,0.9999101,5.6936762e-05
109,C,C,4.9184787e-06,7.5139524e-06,0.9999876
110,B,B,2.4698622e-05,0.9999596,1.569859e-05
111,C,C,4.483656e-05,4.3132346e-05,0.999912
112,C,C,0.00033912653,0.00040686567,0.9992539
113,C,C,1.7241391e-05,4.2626893e-05,0.99994016
114,B,B,6.375273e-06,0.9999863,7.358413e-06
115,C,C,3.9420956e-05,6.779931e-05,0.9998927
116,A,A,0.99984574,7.073785e-05,8.359776e-05
117,C,C,5.318841e-05,4.1222036e-05,0.9999056
118,B,B,2.9789013e-07,0.99999964,1.1534322e-07
119,A,A,0.9993742,1.7895522e-05,0.00060790975
120,B,B,1.389377e-05,0.9999739,1.2140434e-05
121,A,A,0.99943346,6.095702e-05,0.0005054881
122,A,A,0.999374,7.9570564e-05,0.0005465278
123,C,C,4.16046e-05,6.951603e-05,0.9998889
124,B,B,3.4208565e-06,0.99999464,1.8754135e-06
125,A,A,0.9975393,0.0020500184,0.0004107694
126,C,C,7.5249886e-06,0.000116431605,0.999876
127,C,C,3.8865033e-05,4.979934e-05,0.9999113
128,C,C,7.408516e-06,8.666358e-06,0.9999839
129,A,A,0.9998623,5.0200815e-05,8.7518805e-05
130,C,C,1.0808563e-05,1.2753418e-05,0.9999764
131,C,C,0.00035491463,0.0002649838,0.9993801
132,C,C,0.00031652235,0.000115166724,0.9995683
133,B,B,5.7666468e-05,0.99992466,1.7620134e-05
134,A,A,0.96838367,0.0007572185,0.030859105
135,A,A,0.99853814,0.000678443,0.00078341435
136,B,B,1.0259134e-05,0.99998164,8.082831e-06
137,A,A,0.99631643,0.0033115996,0.00037193033
138,A,A,0.9993789,0.00013570607,0.0004854087
139,B,B,0.00024755488,0.99908924,0.0006631527
140,A,A,0.73746437,0.00095961476,0.26157594
141,C,C,2.0210033e-05,8.2292856e-05,0.9998975
142,B,B,1.7392647e-05,0.9999372,4.536276e-05
143,B,B,0.0006585316,0.9877914,0.01155012
144,A,A,0.99357235,0.00015370164,0.006273922
145,A,A,0.97055614,0.029119307,0.0003245728
146,A,A,0.9998042,6.706506e-05,0.0001286805
147,B,B,6.481515e-07,0.99999845,9.087772e-07
148,B,B,3.3870274e-05,0.9999597,6.4092415e-06
149,B,B,4.445024e-05,0.99993217,2.3348648e-05
150,A,A,0.9997161,0.00016358458,0.000120222234
151,A,A,0.99838185,0.0010976404,0.0005203993
152,B,B,0.00010534708,0.99861586,0.0012788158
153,A,A,0.9996327,0.00014297407,0.00022424782
154,A,A,0.9975655,0.0020967498,0.00033774698
155,A,A,0.9584178,0.0010824297,0.040499847
156,B,B,1.2283611e-05,0.99998534,2.437799e-06
157,A,A,0.6141233,0.16972761,0.21614906
158,C,C,8.802993e-05,7.251551e-05,0.9998394
159,B,B,0.000106666084,0.9998379,5.547269e-05
160,C,C,0.00015547252,4.048312e-05,0.9998041
161,B,B,2.5676589e-05,0.9999429,3.1418298e-05
162,B,B,0.0003848711,0.99955434,6.07879e-05
163,C,C,0.00016678448,0.00031704415,0.9995161
164,B,B,9.938e-06,0.9999783,1.1793004e-05
165,B,B,2.3937759e-05,0.9997924,0.00018366367
166,A,A,0.99995923,1.4213714e-05,2.6584157e-05
167,B,B,0.0002939817,0.99895847,0.0007475045
168,C,C,0.00016874928,0.0002564469,0.99957484
169,A,A,0.9994272,0.0001743765,0.00039841872
170,C,C,1.7905984e-05,1.979524e-05,0.99996233
171,B,B,9.966829e-05,0.9998895,1.0868668e-05
172,A,A,0.9994079,9.5611125e-05,0.00049645867
173,C,C,9.318525e-06,1.306545e-05,0.9999776
174,B,B,0.0006538792,0.9989717,0.00037442843
175,A,A,0.99997306,8.1388725e-06,1.8857365e-05
176,B,B,0.00021791486,0.99976915,1.2979688e-05
177,A,A,0.9999591,2.4873481e-05,1.5965947e-05
178,A,A,0.99846613,0.0004070081,0.0011269988
179,A,A,0.99925643,0.00024420163,0.00049936137
180,C,C,0.00049532147,0.0002680218,0.9992367
181,B,B,0.00070233736,0.9990165,0.00028121358
182,C,C,4.903892e-05,8.623647e-05,0.9998647
