,actual_label,predicted_label,prob_class_A,prob_class_B,prob_class_C
0,B,B,0.007531598,0.8009554,0.19151303
1,B,B,0.00072713743,0.99815315,0.001119712
2,A,A,0.89363414,0.0008105485,0.10555528
3,B,B,2.6612527e-06,0.99999154,5.8025466e-06
4,A,A,0.9916855,0.004685655,0.00362881
5,B,C,0.00018792516,0.0014881069,0.998324
6,A,A,0.9998722,9.6243086e-05,3.1630185e-05
7,C,C,2.5240943e-05,6.3840685e-05,0.99991095
8,B,C,9.755435e-05,0.0018889462,0.9980135
9,B,B,5.4348577e-05,0.9999362,9.449232e-06
10,B,B,1.9255189e-05,0.9999722,8.520116e-06
11,C,A,0.9651967,0.001268519,0.033534713
12,B,B,0.003529985,0.99628216,0.0001879329
13,A,B,0.42718464,0.5720433,0.0007720632
14,B,B,0.00012750353,0.9994229,0.0004496307
15,A,A,0.69502425,0.0013947864,0.30358097
16,C,C,8.9045425e-05,4.7665308e-05,0.99986327
17,A,A,0.9203331,0.00027180914,0.079395086
18,C,C,0.1920382,0.00087074353,0.80709106
19,C,C,0.00015143979,0.00016806411,0.9996805
20,A,B,0.00013655091,0.99984384,1.9566105e-05
21,A,A,0.9999536,1.1926102e-05,3.4440178e-05
22,A,A,0.99998915,7.2485054e-06,3.5440078e-06
23,B,B,9.521172e-06,0.99988747,0.00010299599
24,C,C,0.00024077154,0.00040547032,0.9993537
25,A,B,0.0005094136,0.9956619,0.0038286778
26,B,A,0.9917319,0.007890919,0.00037715572
27,C,C,1.7411065e-05,1.7080654e-05,0.99996555
28,C,C,0.00038003118,0.00087197113,0.99874794
29,A,A,0.99309653,9.725479e-05,0.0068061207
30,C,C,6.411947e-05,9.9116776e-05,0.9998367
31,C,C,7.665097e-05,5.440637e-05,0.99986887
32,C,C,0.00014945345,4.3762375e-05,0.9998068
33,B,C,5.3083044e-05,9.58758e-05,0.999851
34,C,C,0.00011163593,4.6939625e-05,0.99984145
35,B,B,7.824212e-06,0.9999856,6.519194e-06
36,B,C,0.00010119488,0.005167284,0.99473155
37,C,B,2.2388556e-06,0.9999968,9.542425e-07
38,A,A,0.9957659,0.0020929493,0.0021410687
39,C,C,0.00018894285,0.00010351428,0.9997075
40,A,B,7.0802984e-05,0.99990785,2.1344886e-05
41,A,B,0.04353202,0.6041279,0.35234007
42,B,B,1.557138e-05,0.99998295,1.4440733e-06
43,C,C,0.00025436218,5.3614167e-05,0.9996921
44,C,C,0.00020694733,0.00034767293,0.9994454
45,C,A,0.99988055,0.000109941444,9.482187e-06
46,C,C,0.00019037376,0.00017635614,0.9996333
47,B,B,0.00072631944,0.97741497,0.021858716
48,B,B,3.8648327e-06,0.99999475,1.3925758e-06
49,A,A,0.99056315,0.00092984486,0.008506988
50,B,B,0.0001663585,0.99967957,0.00015406715
