strain	proba_A	proba_B	proba_C
leaf_159	0	0	1
NODE_0000766	0	0	0.999398872168273
NODE_0000767	0.00143907989668062	0.0100053135870521	0.988555606516267
leaf_33	0	1	0
leaf_83	0	0	1
NODE_0000768	0	0	0.999525226709162
leaf_200	0	0	1
NODE_0000769	0.00941511254247028	0.00704987230435293	0.983535015153177
leaf_11	0.131169300341535	0.128415009451271	0.740415690207195
leaf_20	0	0	1
NODE_0000770	0.00222372555369223	0.00113475443710144	0.996641520009206
leaf_1991	0.0523551863909401	0.0492688862620503	0.89837592734701
NODE_0000771	0.00143446773811663	0	0.998437151962616
leaf_2008	0	0	1
NODE_0000772	0.0176192192033732	0	0.981647023792885
NODE_0000773	0.481552578539699	0.0138244396105914	0.504622981849709
leaf_536	0.431105905381289	0.159157889608415	0.409736205010296
leaf_1668	1	0	0
NODE_0000774	0	0	0.99896824698712
NODE_0000775	0	0	0.999890287269345
leaf_1628	0	0	1
leaf_1698	0	0	1
NODE_0000776	0	0	0.999562887162481
leaf_1607	0	0	1
NODE_0000777	0	0	0.998715787308561
leaf_495	0	0	1
NODE_0000778	0	0	0.999463664219969
leaf_92	0	0	1
leaf_102	0	0	1
NODE_0000779	0.0284855879395833	0.00146353673434486	0.970050875326072
leaf_2397	0.0632696058823023	0.0371043638431181	0.89962603027458
NODE_0000781	0.846839326535929	0.00263645348641633	0.150524219977655
NODE_0000782	0.993521500021036	0	0.00590014068225504
NODE_0000783	0.99919889965889	0	0
leaf_837	1	0	0
leaf_1483	1	0	0
NODE_0000784	0.998827495596332	0	0
leaf_955	1	0	0
leaf_1958	1	0	0
NODE_0000785	0.919576686899555	0	0.0799632383276099
NODE_0000786	0.891064441395796	0.00141440252988702	0.107521156074317
leaf_1957	0	0	1
NODE_0000787	0.996589304806987	0	0.0032414634159085
leaf_1779	1	0	0
NODE_0000788	0.999033833101863	0	0
leaf_596	1	0	0
leaf_1669	1	0	0
NODE_0000789	0.983931218814314	0	0.015816182798506
leaf_2217	0.922642687518536	0.0321984666300232	0.0451588458514405
leaf_1967	1	0	0
NODE_0000791	0.98697464784665	0	0.0126219658990575
leaf_1972	1	0	0
NODE_0000792	0.771090726488848	0.00404947876434207	0.22485979474681
leaf_722	1	0	0
leaf_1015	0	0	1
NODE_0000793	0.00798871733267837	0.0021681038204269	0.989843178846895
NODE_0000794	0	0	0.999520867984359
leaf_2252	0	0	1
NODE_0000795	0	0	0.999828644629713
NODE_0000796	0	0	0.999752754053068
leaf_1189	0	0	1
leaf_1706	0	0	1
NODE_0000797	0	0	0.999858110713007
leaf_1894	0	0	1
NODE_0000798	0	0	0.999811416647671
NODE_0000799	0	0	0.999547597684904
leaf_458	0	0	1
leaf_689	0	0	1
NODE_0000800	0	0	0.999942456999497
leaf_853	0	0	1
leaf_896	0	0	1
NODE_0000801	0.0093704884113697	0.00718747117166962	0.983442040416961
leaf_72	0	0	1
leaf_1045	0.0460063198113721	0.0424196303427799	0.911574049845848
NODE_0000803	0.00515314627349527	0.0198280307908845	0.97501882293562
leaf_1995	0	1	0
NODE_0000804	0	0	0.99860786091659
NODE_0000805	0	0	0.99908417375153
leaf_2115	0.0380825581163644	0.0362856677298907	0.925631774153745
leaf_1194	0	0	1
NODE_0000807	0	0	0.999653578540768
leaf_1889	0	0	1
NODE_0000808	0.00280376093666029	0.00203714687996399	0.995159092183376
leaf_1381	0.040163483948606	0.0377314810359708	0.922105035015423
leaf_1461	0	0	1
NODE_0000810	0.0435199093225525	0.0581947930063507	0.898285297671097
leaf_1348	0.129176253402216	0.141057433240433	0.729766313357351
NODE_0000811	0.0847604212681826	0.118612426409259	0.796627152322559
NODE_0000812	0.173639680430816	0.038471175519207	0.787889144049977
leaf_1233	0	0	1
leaf_1444	1	0	0
NODE_0000813	0.00592388512301363	0.95061265190487	0.0434634629721163
leaf_1499	0	1	0
NODE_0000814	0	0.99613839065575	0.00313204011169113
leaf_426	0	1	0
leaf_594	0	1	0
NODE_0000815	0.0017456857611523	0	0.997821597234718
NODE_0000816	0.132676574600812	0.0120630401592375	0.85526038523995
leaf_371	1	0	0
NODE_0000817	0.0334025646794262	0.00896373176474887	0.957633703555825
leaf_321	0.0675996369380863	0.0439499787155205	0.888450384346393
NODE_0000818	0.00161642153858019	0	0.997997292228318
leaf_185	0	0	1
leaf_252	0	0	1
NODE_0000819	0	0	0.99993701468842
leaf_831	0	0	1
leaf_1678	0	0	1
NODE_0000821	0	0	0.99987628510054
leaf_1797	0	0	1
NODE_0000822	0	0	0.999666971304961
leaf_1114	0	0	1
NODE_0000823	0	0	0.999266840051529
leaf_1276	0	0	1
NODE_0000824	0.0117289948146435	0.00536065303585709	0.9829103521495
leaf_46	0	1	0
leaf_116	1	0	0
leaf_614	0	0	1
NODE_0000826	0	0.00373863682198146	0.995640662802277
NODE_0000827	0.00201292233719661	0.0381617006693139	0.95982537699349
NODE_0000828	0.00130240615120195	0.00840130619184501	0.990296287656953
leaf_1652	0	0	1
leaf_2092	0	0	1
NODE_0000829	0.00215596865331276	0.944002949304816	0.0538410820418716
NODE_0000830	0.00119791938704411	0.985195014208267	0.0136070664046892
leaf_800	0.14135412718335	0.726490561193735	0.132155311622916
NODE_0000832	0.00565705871483044	0.979785194622465	0.0145577466627043
leaf_2146	0.0306772438102501	0.932682813391557	0.0366399427981924
NODE_0000833	0	0.99885350458633	0
leaf_593	0	1	0
leaf_983	0	1	0
NODE_0000834	0	0.998941118189887	0
leaf_1765	0	1	0
NODE_0000835	0	0.999952842021589	0
leaf_1775	0	1	0
leaf_1390	1	0	0
leaf_1540	0	1	0
NODE_0000838	0	0.999859616139717	0
NODE_0000839	0	0.999461645018443	0
leaf_1180	0	1	0
NODE_0000840	0	0.999045994205829	0
leaf_78	0	1	0
leaf_241	0	1	0
NODE_0000841	0	0.999786166571819	0
leaf_1024	0	1	0
NODE_0000842	0	0.999665687393885	0
leaf_274	0	1	0
leaf_677	0	1	0
NODE_0000843	0.00173551008315064	0.98946382125283	0.00880066866401964
NODE_0000844	0.00323018345929213	0.991821457528969	0.00494835901173903
leaf_1825	0.0283460654873847	0.943709618511272	0.0279443160013438
NODE_0000845	0	0.999610179600298	0
leaf_1491	0.0254817870810754	0.950851106811323	0.0236671061076011
NODE_0000847	0	0.999762521399145	0
leaf_931	0	1	0
leaf_1028	0	1	0
NODE_0000848	0	0.999990569129404	0
leaf_1347	0	1	0
NODE_0000850	0	0.999681791750903	0
leaf_382	0	1	0
leaf_733	0	1	0
NODE_0000851	0.00140826464469508	0.997130518391841	0.00146121696346364
leaf_580	0.0529180875996883	0.898351542451888	0.0487303699484243
leaf_723	0	1	0
NODE_0000852	0.0039872555999112	0.993800150955752	0.00221259344433723
NODE_0000853	0.0758712192404838	0.918653440621719	0.00547534013779731
leaf_1692	1	0	0
NODE_0000854	0.00258795875130896	0.996662526126615	0
leaf_725	0	1	0
leaf_864	0	1	0
NODE_0000855	0	0.999675991036457	0
leaf_2122	0	1	0
NODE_0000856	0	0.99964439104468	0
leaf_1426	0	1	0
NODE_0000857	0	0.999108552571308	0
NODE_0000858	0.00433792365053787	0.991209601409512	0.00445247493995058
leaf_468	0	1	0
leaf_821	0.0293499444872959	0.943145165109565	0.0275048904031387
NODE_0000859	0	0.999722753220003	0
leaf_992	0	1	0
NODE_0000860	0	0.999777212193	0
leaf_339	0	1	0
leaf_448	0	1	0
NODE_0000861	0	0	0.999782969249769
NODE_0000862	0	0	0.999548405949205
NODE_0000863	0	0	0.999764283373667
leaf_2117	0	0	1
NODE_0000864	0	0	0.998790680622916
NODE_0000865	0.0118344996795279	0.00886133754808214	0.97930416277239
leaf_869	0	0	1
leaf_1650	0.0482018962698937	0.0439419780064214	0.907856125723685
NODE_0000866	0.00248869934140583	0.00168336334826887	0.995827937310325
leaf_2141	0.0398844685890231	0.0374089043912913	0.922706627019685
NODE_0000867	0	0	0.999748499589361
leaf_1249	0	0	1
NODE_0000869	0.00191090408318024	0.00130774779368893	0.996781348123131
leaf_1554	0	0	1
leaf_1597	0.0461910811266255	0.0436831967447377	0.910125722128637
NODE_0000870	0.0105751018996581	0	0.988649251631384
leaf_1722	0	0	1
NODE_0000871	0.981832137230474	0.00111704695402249	0.0170508158155033
leaf_418	1	0	0
NODE_0000872	0.997779876340204	0	0.0020188002222336
leaf_154	1	0	0
leaf_592	1	0	0
NODE_0000873	0.00471634868106503	0	0.995259566083625
NODE_0000875	0.0258022273507768	0.00160166590092609	0.972596106748297
leaf_1697	1	0	0
NODE_0000876	0.0130202417971365	0.00228050145834623	0.984699256744517
leaf_1885	0.0652402463763966	0.05381142173289	0.880948331890714
leaf_2043	0	0	1
NODE_0000884	0.00824536860482682	0	0.991360928339594
leaf_2249	0	0	1
NODE_0000885	0.193093836839226	0.00902648102487639	0.797879682135897
NODE_0000886	0.237206745454628	0.0149380871422053	0.747855167403167
leaf_131	1	0	0
leaf_244	0	0	1
NODE_0000887	0.681844060212512	0.0309185259538529	0.287237413833635
leaf_1131	0.650557884548977	0.0614685948769856	0.287973520574037
NODE_0000888	0.837970962524002	0.0195914553992818	0.142437582076716
leaf_204	0.677763992214572	0.127377799180034	0.194858208605394
leaf_713	1	0	0
NODE_0000889	0.0143312835419555	0.00210797291666827	0.983560743541376
NODE_0000890	0.120989224464443	0.0269405754275868	0.85207020010797
leaf_1971	0.156570401521801	0.0740885828004893	0.76934101567771
NODE_0000891	0.225735428574885	0.0451187471265792	0.729145824298536
leaf_454	1	0	0
leaf_513	0.293650324498457	0.210448507010938	0.495901168490605
NODE_0000892	0.010404274533329	0.003107323076014	0.986488402390657
leaf_531	0.189669125642028	0.189564932050319	0.620765942307653
NODE_0000893	0.00176533276283934	0	0.997650982689157
leaf_657	0	0	1
leaf_1696	0	0	1
NODE_0000877	0.274497677412167	0.0944775750522075	0.631024747535625
NODE_0000878	0.990868733115618	0.00127550984562482	0.0078557570387575
leaf_1395	1	0	0
leaf_1603	1	0	0
NODE_0000879	0.212639885089432	0.367587933796013	0.419772181114555
leaf_1851	0.224390658260234	0.371497280393637	0.404112061346129
NODE_0000880	0.112567072203584	0.694715109585276	0.19271781821114
leaf_407	0.165080808504013	0.625426077395832	0.209493114100156
NODE_0000881	0.059021888034097	0.84466322354497	0.0963148884209336
leaf_621	0.0822655544802858	0.805555679281664	0.11217876623805
NODE_0000882	0.00711027772232449	0.980778078769167	0.0121116435085088
leaf_188	0	1	0
leaf_503	0	1	0
NODE_0000894	0	0	0.999994270094034
NODE_0000908	0	0	0.999817970342595
leaf_2284	0	0	1
leaf_1928	0	0	1
leaf_2229	0.0378283767245212	0.0358794067862567	0.926292216489222
NODE_0000912	0	0	0.999560585740766
leaf_2109	0	0	1
leaf_970	0.139638935819311	0.138644283922146	0.721716780258543
leaf_1343	0	0	1
NODE_0000914	0.986158344561449	0	0.0136423957807094
leaf_2140	0.924646492670748	0.0321407921870739	0.0432127151421776
leaf_1802	1	0	0
leaf_2119	1	0	0
NODE_0000915	0.999094989896789	0	0
leaf_661	1	0	0
leaf_928	1	0	0
NODE_0000895	0	0.0031055129592223	0.996422689648502
NODE_0000896	0	0	0.998892164475031
NODE_0000897	0.00453529212400218	0.00335745982015838	0.992107248055839
leaf_488	0.144339834626486	0.143079638740662	0.712580526632851
leaf_901	0	0	1
NODE_0000898	0	0	0.99939483332084
leaf_496	0	0	1
leaf_1418	0	0	1
NODE_0000899	0.00223297480195817	0.0500981845761773	0.947668840621865
leaf_1956	0.051153049018247	0.0922876194836995	0.856559331498054
leaf_2143	0.0390576579267175	0.0817254864574169	0.879216855615866
NODE_0000902	0.012014105649511	0.128748139477947	0.859237754872542
leaf_959	0	1	0
NODE_0000903	0.00199109540080227	0.00427972885001514	0.993729175749183
leaf_174	0	0	1
leaf_330	0	0	1
NODE_0000904	0.00518657115864232	0.105087121662392	0.889726307178966
leaf_1292	0	0	1
NODE_0000905	0.00498021714007901	0.901622841587434	0.0933969412724873
leaf_387	0	1	0
NODE_0000906	0	0.993015982919996	0.00641698396334494
leaf_883	0	1	0
leaf_1350	0	1	0
NODE_0000918	0	0	0.999984085857093
NODE_0000919	0	0	0.999910500047325
leaf_2098	0	0	1
leaf_2260	0	0	1
NODE_0000921	0.0164578696341303	0.00305956887671598	0.980482561489154
NODE_0000922	0.41719424120053	0.0572797349714141	0.525526023828056
leaf_118	1	0	0
leaf_136	0.395575376480532	0.172954277344451	0.431470346175016
NODE_0000923	0.0018142145526867	0	0.99779511737096
leaf_645	0	0	1
NODE_0000924	0	0	0.999528677348412
leaf_851	0	0	1
leaf_861	0	0	1
NODE_0000925	0	0	0.999780010737607
leaf_1747	0	0	1
NODE_0000926	0	0	0.999722633133713
leaf_2125	0	0	1
NODE_0000927	0.00521733511298615	0	0.994388107088135
NODE_0000928	0.233301817141134	0.00474561710383274	0.761952565755033
leaf_644	0	0	1
leaf_1353	1	0	0
NODE_0000929	0	0	0.999768480651228
leaf_1699	0	0	1
leaf_1839	0	0	1
NODE_0000930	0.00444925784985003	0.0415733192580846	0.953977422892065
NODE_0000931	0	0.00326983486588521	0.996228149247501
leaf_2356	0	0	1
NODE_0000932	0	0.0113195681083096	0.988164084884879
leaf_1596	0	0	1
NODE_0000933	0.001472211592447	0.0169777846849482	0.981550003722605
leaf_1649	0	1	0
leaf_2283	0	0	1
NODE_0000935	0.00134726429505054	0.986179672510074	0.0124730631948759
NODE_0000936	0	0.998416243418189	0.00133717866628058
NODE_0000937	0	0.999758294682487	0
leaf_1078	0	1	0
leaf_1413	0	1	0
NODE_0000938	0	0.997866302684645	0.00120234503685336
leaf_345	0	1	0
NODE_0000939	0.00414224406444988	0.991500859442001	0.00435689649354944
leaf_163	0.0672474043308223	0.870852333599373	0.0619002620698048
leaf_229	0	1	0
NODE_0000940	0	0.998630422634637	0.00115785143980639
NODE_0000941	0.00101410344421072	0.997493816139372	0.0014920804164176
leaf_1278	0	1	0
NODE_0000942	0.0262829302109892	0.948910509694794	0.024806560094217
leaf_362	0.0996338642960091	0.809721673798538	0.090644461905453
leaf_1101	0.049609396570679	0.904340291561322	0.0460503118679986
NODE_0000943	0	0.999241468509507	0
NODE_0000944	0	0.999839800867687	0
leaf_734	0	1	0
leaf_818	0	1	0
NODE_0000945	0	0.999178888000363	0
leaf_686	0	1	0
NODE_0000946	0	0.999566594430587	0
leaf_91	0	1	0
NODE_0000947	0	0.999750435681483	0
leaf_66	0	1	0
NODE_0000948	0	0.999722597426275	0
leaf_13	0	1	0
leaf_21	0	1	0
NODE_0000949	0.012695858545836	0.428356846218536	0.558947295235628
NODE_0000950	0.00985970829359975	0.415953088417116	0.574187203289284
leaf_2312	0	1	0
NODE_0000951	0.00592484870238081	0.194015340810307	0.800059810487312
NODE_0000952	0.0225209271440145	0.260846844225313	0.716632228630673
leaf_753	0	0	1
NODE_0000953	0.00245539755407233	0.985298354362228	0.0122462480836999
leaf_964	0	1	0
NODE_0000954	0	0.997128709694887	0.00225341763315462
leaf_187	0	1	0
leaf_1113	0	1	0
NODE_0000955	0.00107908193037026	0.0119507987302823	0.986970119339347
NODE_0000956	0	0	0.999429456336543
leaf_2329	0	0	1
NODE_0000957	0.00140916955446933	0.00688704016592615	0.991703790279604
leaf_1498	0	1	0
leaf_2269	0	0	1
NODE_0000959	0.00835393597475352	0.0148206225459796	0.976825441479267
leaf_2086	0	0	1
NODE_0000960	0.128318369018341	0.315186806971427	0.556494824010232
leaf_924	0.196515972984302	0.344015826423847	0.459468200591851
NODE_0000961	0.19573134491012	0.523933727472629	0.280334927617251
leaf_918	1	0	0
leaf_1830	0	1	0
NODE_0000962	0	0.00106644128785768	0.998234584472351
NODE_0000963	0	0	0.999602758166381
leaf_1100	0	0	1
leaf_1253	0	0	1
NODE_0000964	0	0	0.999623933927409
leaf_1827	0	0	1
NODE_0000965	0	0	0.999526811908232
leaf_2228	0	0	1
NODE_0000966	0.0111101716336678	0.203902150256457	0.784987678109875
leaf_214	0	0	1
NODE_0000967	0.00798676171433196	0.819578197534257	0.172435040751411
leaf_1423	0	1	0
NODE_0000968	0.0126901175084666	0.859054108458744	0.128255774032789
leaf_210	0.15496807515689	0.654927315134098	0.190104609709012
NODE_0000969	0.00112376289978263	0.993887083529575	0.00498915357064185
leaf_335	0	1	0
NODE_0000970	0	0.999584072859934	0
leaf_469	0	1	0
leaf_776	0	1	0
NODE_0000972	0.00540279093806068	0.00214817524783299	0.992449033814106
leaf_769	0.169091126677437	0.168658018420316	0.662250854902247
leaf_1882	0.0619737343432482	0.0569439063925159	0.881082359264236
NODE_0000974	0.00799941984976637	0.00180190254574577	0.990198677604488
NODE_0000978	0.0265399981615769	0.00160536162042928	0.971854640217994
leaf_1477	1	0	0
leaf_1759	0	0	1
NODE_0000975	0.0142131161882917	0.00123336856547254	0.984553515246236
leaf_481	0	0	1
NODE_0000976	0.0648741336456297	0.00124489598719334	0.933880970367177
leaf_1546	1	0	0
leaf_1568	0	0	1
NODE_0000979	0.0247521882191778	0.708191005993656	0.267056805787166
NODE_0000980	0.0144085433329741	0.94571032642888	0.0398811302381454
leaf_181	0	1	0
leaf_206	0.0389686440560403	0.901458261620873	0.0595730943230865
NODE_0000981	0.0248832146897835	0.83463361439522	0.140483170914997
leaf_391	0.0890291601066393	0.744549196729092	0.166421643164269
leaf_499	0	1	0
NODE_0000982	0.0479874559226764	0.808199146776565	0.143813397300758
NODE_0000983	0.0860919069632252	0.803817374465697	0.110090718571078
NODE_0000984	0.0678707881300604	0.797385851353666	0.134743360516274
leaf_2375	0.0888826641060251	0.765479846452275	0.1456374894417
NODE_0000985	0.0276635555105555	0.810480813465	0.161855631024444
leaf_1228	0	0	1
leaf_1845	0	1	0
NODE_0000986	0.204250982046497	0.742200779933741	0.0535482380197613
NODE_0000987	0.0206616415167832	0.97127645614643	0.00806190233678684
leaf_1723	0	1	0
NODE_0000988	0.0110753033337247	0.983740510372116	0.00518418629415936
leaf_2264	0.0355018284373774	0.936281699583212	0.0282164719794105
leaf_2277	0	1	0
NODE_0000989	0.964680562181443	0.0281587205011868	0.00716071731737051
NODE_0000990	0.993312304374097	0.00445507593553021	0.00223261969037249
leaf_1791	1	0	0
NODE_0000991	0.997372907980781	0.00114530205600378	0.00148178996321507
NODE_0000992	0.964787646106286	0.0153392864723931	0.0198730674213209
leaf_772	1	0	0
leaf_773	0.802069826579875	0.100848876852036	0.0970812965680891
NODE_0000993	0.998575488489508	0	0.00136149917870851
leaf_2295	1	0	0
NODE_0000995	0.542018777603872	0.0184853799867955	0.439495842409332
leaf_1937	0	0	1
leaf_2207	0.524947845125309	0.050643902135747	0.424408252738944
NODE_0000996	0.999849007398444	0	0
leaf_2087	1	0	0
leaf_2180	1	0	0
NODE_0000997	0.995545939180333	0	0.00429971291120386
NODE_0000998	0.0254413427316309	0.00284012899437584	0.971718528273993
leaf_835	0	0	1
leaf_1127	0	0	1
NODE_0001015	0.999999467316207	0	0
leaf_341	1	0	0
leaf_1926	1	0	0
leaf_1949	1	0	0
NODE_0001018	0.998909453818192	0	0
leaf_309	1	0	0
leaf_1508	1	0	0
NODE_0001020	0.994819602496142	0.00207744159657669	0.00310295590728125
leaf_1500	0.932413551090989	0.0338255247210376	0.0337609241879736
NODE_0001021	0.998579761464649	0	0
leaf_1244	0.935815256842864	0.0323478104547712	0.0318369327023651
leaf_701	1	0	0
NODE_0001023	0.997038450278647	0.00116635595292369	0.00179519376842916
leaf_351	0.797302308092293	0.105018260663038	0.0976794312446693
leaf_1237	1	0	0
NODE_0001000	0.972088379238009	0	0.0271646042622094
NODE_0001001	0.998537849749882	0	0.00138716150438536
NODE_0001002	0.999758902467533	0	0
leaf_1966	1	0	0
leaf_2243	1	0	0
NODE_0001003	0.999371350889408	0	0
leaf_1328	1	0	0
NODE_0001004	0.999898808564723	0	0
leaf_2213	1	0	0
leaf_2238	1	0	0
NODE_0001005	0.0909655840187845	0.00294637212550097	0.906088043855715
NODE_0001006	0.00496882456208855	0	0.994662291594934
leaf_1806	0	0	1
NODE_0001007	0	0	0.99971280990834
leaf_910	0	0	1
NODE_0001008	0	0	0.999878711120152
leaf_998	0	0	1
NODE_0001009	0	0	0.999720683259079
leaf_265	0	0	1
leaf_732	0	0	1
NODE_0001010	0.0602974366231568	0.00501378126392655	0.934688782112917
leaf_2150	0.0918384297855541	0.0402275726620379	0.867933997552408
NODE_0001011	0	0	0.999695400191787
leaf_671	0	0	1
leaf_1467	0	0	1
NODE_0001013	0	0	0.99978293785696
leaf_848	0	0	1
leaf_1480	0	0	1
NODE_0001024	0.99996011797197	0	0
leaf_2234	1	0	0
NODE_0001025	0.982744261233061	0.0143445792483147	0.00291115951862412
NODE_0001026	0.99546066262153	0.00317569049014428	0.00136364688832542
leaf_1059	1	0	0
leaf_1087	1	0	0
NODE_0001027	0.0721128782588498	0.917882075006091	0.0100050467350593
NODE_0001028	0.00263103773761861	0.996141679380857	0.00122728288152448
leaf_38	0	1	0
leaf_239	0	1	0
NODE_0001029	0.0263846001074014	0.968016558895649	0.00559884099695004
NODE_0001030	0	0.999281350862874	0
leaf_70	0	1	0
leaf_84	0	1	0
NODE_0001031	0.0157540011065305	0.977017901749179	0.00722809714429058
leaf_421	0.0397928666715863	0.930109694608442	0.0300974387199715
NODE_0001032	0	0.99940794988182	0
leaf_101	0	1	0
leaf_169	0	1	0
NODE_0001034	0.999996337910117	0	0
leaf_2031	1	0	0
leaf_2147	1	0	0
NODE_0001036	0.999423945632234	0	0
NODE_0001037	0.998307911772662	0	0.00111499090408166
leaf_354	1	0	0
leaf_98	0.719233420924272	0.147804246886808	0.13296233218892
leaf_648	1	0	0
NODE_0001039	0.99986533599294	0	0
leaf_1846	1	0	0
NODE_0001040	0.99991074395584	0	0
leaf_1580	1	0	0
NODE_0001041	0.999835472083238	0	0
leaf_1472	1	0	0
NODE_0001042	0.997671883183332	0	0.00138233100903996
leaf_100	0.688252574843635	0.165217737510614	0.14652968764575
leaf_1280	1	0	0
NODE_0001043	0.0394322101171521	0.926018782690218	0.0345490071926304
NODE_0001044	0.0723117639892383	0.898180206511879	0.0295080294988826
NODE_0001045	0.00518033538733402	0.991786100589349	0.00303356402331743
NODE_0001046	0.00451416666734047	0.991249132145564	0.00423670118709527
leaf_1501	0.0295079757649799	0.94318064830981	0.0273113759252097
leaf_1721	0	1	0
NODE_0001047	0	0.999160287495244	0
leaf_2255	0	1	0
NODE_0001048	0	0.999973085823677	0
leaf_1534	0	1	0
leaf_902	0	1	0
NODE_0001050	0	0.999774790659215	0
leaf_1215	0	1	0
NODE_0001051	0	0.999804148215445	0
leaf_626	0	1	0
leaf_665	0	1	0
NODE_0001052	0.580784729435409	0.360230646173367	0.058984624391224
NODE_0001053	0.797174608821262	0.161621406082853	0.0412039850958854
leaf_1365	1	0	0
NODE_0001054	0.997621997510325	0.0012238090113429	0.00115419347833181
