strain	proba_A	proba_B	proba_C
NODE_0000006	0.00334319513677765	0.00265114219017956	0.994005662673043
NODE_0000702	0	0.00131307672968746	0.997891579292188
NODE_0000703	0	0	0.999701296938274
leaf_2420	0	0	1
NODE_0000704	0	0	0.999910268604623
leaf_2419	0	0	1
NODE_0000705	0.066208150945593	0.122533308243924	0.811258540810483
NODE_0000706	0.336231463683264	0.262373931507466	0.40139460480927
leaf_1962	0.337189561091098	0.283834915387299	0.378975523521603
NODE_0000707	0.424550712419338	0.301943702868596	0.273505584712066
leaf_1046	0	1	0
NODE_0000708	0.609272854295677	0.204089713482999	0.186637432221323
leaf_957	0.522355316372791	0.259035162289747	0.218609521337462
leaf_1465	1	0	0
NODE_0000709	0.0396930405242646	0.153486467164664	0.806820492311071
NODE_0000710	0.0057183786776034	0.964159162033304	0.0301224592890931
leaf_1086	0	1	0
NODE_0000711	0	0.999312243084322	0
leaf_624	0	1	0
leaf_854	0	1	0
NODE_0000712	0.0075889054551923	0.0156896890237989	0.976721405521009
leaf_1175	0	0	1
NODE_0000713	0	0	0.999536403875326
leaf_783	0	0	1
leaf_798	0	0	1
NODE_0000715	0	0	0.999677368955142
leaf_2413	0	0	1
NODE_0000716	0	0	0.999604747721834
NODE_0000717	0	0	0.99991764143622
leaf_2300	0	0	1
leaf_2317	0	0	1
NODE_0000718	0	0	0.999375118666988
NODE_0000719	0	0	0.99982107096966
leaf_2214	0	0	1
NODE_0000720	0.00141054248890091	0.00101573996332704	0.997573717547772
leaf_2056	0.0522396481756981	0.049739738914508	0.898020612909794
leaf_2230	0	0	1
NODE_0000721	0.00276852905603692	0.0136181160771452	0.983613354866818
leaf_914	0	1	0
NODE_0000722	0	0.0079628080082538	0.9911847363613
leaf_1526	0	0	1
leaf_1691	0.0622883109831798	0.0661610500647169	0.871550638952103
NODE_0000724	0.00195334296679368	0.026859841503594	0.971186815529613
NODE_0000725	0.00493220338652156	0.904417984384391	0.0906498122290872
leaf_455	0	1	0
leaf_1659	0	1	0
NODE_0000726	0	0	0.999300489637026
leaf_1466	0	0	1
leaf_1672	0	0	1
NODE_0000727	0	0.00951165860067152	0.990197090086109
NODE_0000728	0.0124651669112466	0.160993099293985	0.826541733794769
leaf_2415	0	1	0
NODE_0000729	0.00240621984236643	0.00238852803333101	0.995205252124303
leaf_623	0	0	1
leaf_1358	0	0	1
NODE_0000731	0	0.00118890562027776	0.998521339637658
NODE_0000732	0	0	0.999945988766847
leaf_2421	0	0	1
NODE_0000734	0.00484632593246903	0.00132273176849755	0.993830942299033
NODE_0000735	0.0598696511823453	0.00879788665850853	0.931332462159146
leaf_54	0	0	1
NODE_0000736	0.138677320809448	0.0129736879504026	0.84834899124015
leaf_922	0.162237666873995	0.0472019919817385	0.790560341144267
leaf_1010	0.162237666873995	0.0472019919817385	0.790560341144267
NODE_0000738	0.212429324101902	0.00420610426392271	0.783364571634176
leaf_383	0	0	1
leaf_477	1	0	0
NODE_0000739	0	0	0.999585798687364
leaf_2084	0	0	1
NODE_0000740	0.00105476953665026	0	0.998820153013702
NODE_0000741	0.0200217690220136	0.00210840223773725	0.977869828740249
leaf_658	1	0	0
leaf_1219	0	0	1
NODE_0000742	0	0	0.999597182748343
leaf_1006	0	0	1
leaf_1796	0	0	1
NODE_0000743	0.00229535082338578	0	0.997491824684729
NODE_0000744	0	0	0.999654884279263
leaf_2360	0	0	1
NODE_0000745	0	0	0.999444985202425
NODE_0000746	0	0	0.999421295956636
NODE_0000747	0	0	0.999147041447397
leaf_1748	0	0	1
NODE_0000748	0.0187744650832939	0.0145429479901636	0.966682586926543
leaf_122	0	0	1
leaf_1151	0.0646143622149392	0.0592351928618999	0.876150444923161
NODE_0000749	0.00116216129757986	0	0.998717064399934
leaf_1497	0	0	1
NODE_0000750	0.0164447565972834	0.00104942758137843	0.982505815821338
leaf_1019	1	0	0
leaf_1486	0	0	1
NODE_0000751	0.00150459961181564	0	0.998301654956668
NODE_0000752	0.00498099629910193	0	0.994938041269726
leaf_2039	0	0	1
NODE_0000753	0.925454172310531	0.00142186158903449	0.0731239661004344
leaf_1325	1	0	0
leaf_1843	1	0	0
NODE_0000755	0	0	0.999247270596576
leaf_976	0	0	1
leaf_1518	0	0	1
NODE_0000756	0.00886569056267679	0	0.990252291007419
leaf_1730	1	0	0
NODE_0000757	0	0	0.999431610368511
NODE_0000759	0.0129168775212228	0.138439038018045	0.848644084460732
leaf_278	0	0	1
leaf_1835	0	1	0
NODE_0000760	0	0	0.999625859950152
NODE_0000761	0	0	0.999820733538998
leaf_1712	0	0	1
leaf_1981	0	0	1
NODE_0000762	0.00241025022999481	0.00172948924641794	0.995860260523587
leaf_1727	0	0	1
leaf_2016	0.0398133403773249	0.0374514366374204	0.922735222985255
NODE_0000763	0	0	0.9995446471403
NODE_0000764	0.0011467731874697	0	0.998182528616267
leaf_1555	0	0	1
NODE_0000765	0	0	0.998890911804108
