,actual_label,predicted_label,prob_class_A,prob_class_B,prob_class_C
0,A,A,0.9840916,0.003220861,0.012687619
1,A,A,0.9491607,0.012445405,0.03839391
2,C,A,0.57133764,0.059357442,0.36930487
3,C,C,0.20444079,0.25607005,0.5394891
4,B,B,0.24751116,0.61531997,0.13716885
5,B,A,0.46464896,0.3050057,0.23034535
6,C,C,0.10439717,0.2913708,0.6042321
7,C,C,0.20893659,0.032738227,0.75832516
8,A,A,0.9674388,0.007010299,0.025550853
9,A,A,0.86308205,0.011945647,0.124972306
10,A,A,0.7638131,0.026333889,0.20985295
11,A,A,0.9781043,0.0031434784,0.018752187
12,A,A,0.9524971,0.0070453975,0.040457368
13,A,A,0.9210704,0.013940799,0.06498879
14,C,A,0.5924224,0.29289153,0.11468606
15,C,A,0.9124593,0.02675145,0.060789227
16,C,C,0.20489351,0.351409,0.44369745
17,A,A,0.9694884,0.0052433466,0.025268225
18,B,A,0.6868666,0.1994139,0.11371948
19,B,A,0.3665943,0.35757264,0.27583304
20,C,C,0.09307715,0.09530954,0.8116133
21,A,A,0.82898426,0.050670743,0.120345004
22,B,B,0.06166856,0.87401336,0.06431802
23,A,A,0.6308977,0.07670417,0.29239804
24,B,A,0.5764983,0.06774894,0.35575268
25,B,B,0.24986844,0.38971308,0.36041847
26,B,B,0.034742963,0.94890535,0.016351694
27,B,B,0.28707173,0.6115817,0.101346545
28,A,A,0.6450298,0.063662104,0.29130808
29,C,C,0.07903653,0.09395789,0.82700557
30,B,B,0.054045238,0.9086411,0.03731366
31,B,B,0.014452468,0.9802587,0.0052887546
32,C,C,0.07226183,0.2829979,0.6447402
33,B,A,0.7897347,0.103476875,0.10678839
34,B,B,0.00807895,0.97556573,0.016355213
35,B,B,0.03278858,0.9366785,0.030532856
36,A,B,0.044557754,0.7759996,0.17944263
37,C,C,0.026674226,0.11214351,0.8611823
38,A,B,0.10592523,0.7796831,0.11439173
39,C,B,0.06640104,0.8967815,0.036817458
40,A,A,0.8886723,0.017191147,0.09413648
41,C,C,0.39975235,0.07730428,0.52294344
42,C,B,0.016409192,0.972391,0.011199785
43,C,A,0.68443316,0.08479968,0.23076715
44,C,A,0.79439414,0.017314788,0.18829107
45,A,A,0.72172374,0.030367553,0.24790871
46,B,C,0.21224232,0.3056515,0.48210624
47,B,B,0.030888647,0.84682655,0.122284755
48,B,B,0.050844986,0.9020447,0.047110394
49,A,A,0.9555231,0.008753421,0.035723418
50,B,C,0.051822934,0.053118404,0.8950587
51,B,B,0.058623686,0.829158,0.112218335
52,A,A,0.46640152,0.082735814,0.45086265
53,A,A,0.9655239,0.00597643,0.028499667
54,A,B,0.1216805,0.69835335,0.1799661
55,B,B,0.03463963,0.89234567,0.073014654
56,B,B,0.027365023,0.9441485,0.028486475
57,A,A,0.9439902,0.014242738,0.041767024
58,B,B,0.011487643,0.9843704,0.004142021
59,B,B,0.05417945,0.6924277,0.25339288
60,B,A,0.48747352,0.418586,0.09394046
61,A,A,0.95557916,0.013378047,0.031042786
62,B,B,0.07893977,0.88697267,0.03408745
63,B,C,0.195476,0.11627344,0.6882506
64,B,C,0.23347001,0.08143154,0.6850984
65,C,A,0.96659577,0.0057078064,0.027696423
66,B,B,0.015998228,0.97818345,0.0058182837
67,C,B,0.045822155,0.91433144,0.039846446
68,A,A,0.89790064,0.015059465,0.08703987
69,B,A,0.57336694,0.3535931,0.07303992
70,C,A,0.6718228,0.061717574,0.2664596
71,C,C,0.0472126,0.1121638,0.8406236
72,B,B,0.2925196,0.56841046,0.13906999
73,B,B,0.04789967,0.91985285,0.03224748
74,A,B,0.08777565,0.8624604,0.049763966
75,B,A,0.64688927,0.23856847,0.114542246
76,A,A,0.9179485,0.033300713,0.048750874
77,C,B,0.24080376,0.5007854,0.2584109
78,A,A,0.90389127,0.019801151,0.076307565
79,B,B,0.018363116,0.8362859,0.14535093
80,B,B,0.06969554,0.7627741,0.16753036
81,B,B,0.12222391,0.8241046,0.05367148
82,B,B,0.023173766,0.96434784,0.012478457
83,A,B,0.14546049,0.4362392,0.41830027
84,B,C,0.07897627,0.056757066,0.86426663
85,C,C,0.39200968,0.11555493,0.49243543
86,C,A,0.6575161,0.17809105,0.1643928
87,C,A,0.7130575,0.05244283,0.2344997
88,C,C,0.10247217,0.076406226,0.82112163
89,C,C,0.20544672,0.14260983,0.65194345
90,B,B,0.014158839,0.9480076,0.037833616
91,B,C,0.36055076,0.09145496,0.54799426
92,B,B,0.06773128,0.89240295,0.03986571
93,A,A,0.9599136,0.009649134,0.030437287
94,A,A,0.940925,0.011967522,0.047107443
95,A,A,0.9700444,0.0041159154,0.025839696
96,A,A,0.95763844,0.0043577985,0.038003724
97,C,B,0.12581062,0.4443847,0.42980474
98,C,A,0.7352672,0.035630845,0.22910184
99,B,B,0.042132325,0.9316334,0.026234258
100,A,C,0.26425603,0.1903895,0.5453545
101,B,B,0.0632645,0.82156134,0.11517415
102,B,B,0.08756494,0.86625206,0.046183016
103,B,B,0.19867954,0.7238626,0.077457964
104,C,B,0.050259467,0.9173494,0.032391135
105,C,B,0.06425843,0.90617746,0.029564148
106,C,A,0.67215616,0.14559132,0.18225257
107,A,A,0.8175304,0.06957353,0.11289612
108,C,B,0.024932994,0.9352587,0.03980841
109,C,A,0.9649304,0.0068069873,0.028262619
110,A,B,0.25777516,0.50361836,0.23860642
111,C,C,0.079501644,0.38819757,0.5323008
112,C,A,0.89604867,0.008343979,0.09560737
113,C,C,0.12684192,0.06390094,0.80925715
114,B,B,0.07098581,0.8522441,0.07677011
115,C,A,0.92939997,0.014967289,0.055632766
116,B,A,0.9563186,0.0132614635,0.030419875
117,B,B,0.16396639,0.61288124,0.22315237
118,A,B,0.047098283,0.4911325,0.46176913
119,A,A,0.95421475,0.006715711,0.039069448
120,A,A,0.493529,0.199956,0.30651498
121,A,A,0.83162683,0.08415766,0.08421559
122,C,A,0.9149171,0.013867159,0.07121575
123,B,B,0.028266015,0.89941424,0.072319776
124,A,A,0.9183989,0.023156563,0.05844447
125,B,B,0.011999934,0.98101395,0.006986108
126,A,A,0.9478019,0.011917873,0.04028027
127,C,C,0.05230701,0.07258087,0.8751121
128,A,A,0.962936,0.005538014,0.031526048
129,A,A,0.5825527,0.05949845,0.35794893
130,B,B,0.19389988,0.66014427,0.1459558
131,A,B,0.19275992,0.67645895,0.13078111
132,B,A,0.63284343,0.24610505,0.12105152
133,B,B,0.119515315,0.8331925,0.047292143
134,B,B,0.07214206,0.77501994,0.1528381
135,A,A,0.9674214,0.004354135,0.02822441
136,A,B,0.3124081,0.49021053,0.1973814
137,A,A,0.83688986,0.025495965,0.1376142
138,C,A,0.9491757,0.008111977,0.042712335
139,C,A,0.574504,0.09477436,0.33072162
140,C,C,0.09648142,0.12698264,0.77653587
141,C,B,0.18853205,0.43886778,0.37260023
142,A,A,0.58162093,0.21314175,0.20523731
143,B,A,0.69084585,0.17593718,0.13321699
144,C,B,0.06562241,0.7974823,0.13689525
145,A,A,0.77221817,0.021914355,0.2058675
146,A,A,0.6207002,0.12595257,0.25334722
147,C,A,0.97563225,0.0050667725,0.019301
148,C,C,0.0740341,0.103861205,0.8221047
149,A,C,0.22781189,0.0635152,0.7086729
150,B,A,0.87745476,0.048905313,0.073639855
151,A,C,0.16091695,0.23293665,0.6061464
152,A,B,0.019956963,0.9634212,0.016621867
153,B,A,0.6717466,0.13782346,0.19042991
154,C,A,0.81043744,0.02301159,0.16655098
155,B,B,0.02689376,0.9605743,0.012531877
156,A,A,0.973465,0.005057265,0.021477744
157,A,B,0.059135027,0.6828102,0.2580548
158,A,A,0.8386425,0.013837138,0.1475204
159,B,C,0.06643974,0.23351462,0.7000456
160,A,A,0.9439878,0.0072866734,0.048725482
161,C,C,0.40671098,0.06309303,0.53019595
162,C,C,0.04897694,0.14538047,0.80564255
163,C,C,0.05474307,0.4546401,0.49061686
164,B,B,0.027424095,0.95271677,0.019859219
165,B,B,0.038776413,0.80613655,0.155087
166,C,A,0.92903376,0.0148061,0.05616017
167,B,B,0.18940032,0.6621608,0.14843883
168,B,B,0.0426254,0.9128479,0.044526745
169,A,A,0.86783457,0.020929487,0.11123597
170,C,A,0.83919734,0.030605476,0.13019723
171,A,A,0.84503996,0.045982204,0.10897775
172,A,A,0.9362298,0.021907289,0.041862864
173,B,B,0.09864675,0.8392194,0.062133875
174,A,A,0.62290186,0.23287545,0.14422266
175,A,A,0.94292516,0.009954355,0.04712051
176,B,B,0.05135701,0.89186484,0.05677815
177,B,B,0.21394505,0.4194048,0.36665013
178,A,A,0.95629996,0.0062649385,0.037435014
179,B,B,0.20197481,0.72845894,0.0695663
180,C,A,0.6165712,0.039261695,0.34416714
181,B,A,0.7266813,0.09921479,0.17410395
182,C,A,0.9815439,0.0038565644,0.014599458
183,B,B,0.09347415,0.85188884,0.054637033
184,A,A,0.9413482,0.009249571,0.04940229
