,actual_label,predicted_label,prob_class_A,prob_class_B,prob_class_C
0,A,A,0.6772757,0.17348997,0.14923425
1,A,A,0.51766175,0.049997576,0.43234068
2,B,B,0.03223722,0.86964375,0.098119
3,B,B,0.032455303,0.9303185,0.03722618
4,C,C,0.04417553,0.07128643,0.884538
5,A,A,0.87225497,0.038704123,0.08904092
6,B,B,0.04825226,0.48212656,0.46962112
7,C,C,0.033702124,0.07042214,0.89587575
8,C,C,0.14040947,0.085767925,0.77382255
9,C,A,0.6117389,0.09858332,0.2896778
10,A,A,0.94831675,0.024281062,0.027402235
11,C,C,0.10584481,0.05999042,0.8341648
12,B,B,0.058308266,0.9183045,0.023387225
13,B,A,0.39049673,0.24171866,0.3677846
14,A,A,0.70756346,0.099694245,0.1927422
15,B,B,0.10357858,0.84225464,0.054166768
16,B,C,0.11132949,0.41741133,0.4712592
17,B,B,0.028234648,0.6900513,0.2817141
18,C,C,0.10442524,0.12147854,0.7740962
19,C,C,0.0512072,0.2512481,0.69754475
20,A,A,0.6650975,0.12436572,0.2105368
21,B,C,0.16502827,0.14486538,0.69010633
22,A,A,0.87327945,0.030254655,0.09646594
23,B,C,0.057417337,0.07941324,0.8631694
24,A,A,0.8900086,0.017399156,0.09259225
25,A,A,0.6949492,0.06899382,0.23605698
26,C,C,0.06568207,0.04841543,0.88590246
27,B,B,0.15036719,0.7448944,0.10473843
28,B,B,0.04369895,0.5328234,0.42347762
29,B,B,0.111007705,0.8550051,0.033987265
30,A,A,0.7928208,0.06931581,0.13786335
31,B,B,0.116971284,0.8124379,0.07059089
32,A,A,0.614816,0.09323547,0.29194847
33,B,B,0.0072840094,0.9701113,0.022604683
34,A,A,0.83966655,0.050240934,0.1100925
35,A,C,0.30232665,0.068425305,0.6292481
36,C,C,0.08281501,0.050671823,0.86651313
37,A,A,0.85732466,0.053023927,0.0896514
38,B,B,0.02423291,0.96426755,0.011499572
39,C,C,0.023696495,0.105444714,0.8708588
40,A,A,0.5650335,0.38077015,0.054196328
41,A,A,0.9062684,0.019168213,0.074563354
42,B,B,0.17437877,0.5825705,0.24305077
43,B,C,0.20511004,0.39168814,0.40320182
44,C,C,0.118380904,0.06647073,0.81514835
45,A,A,0.95262015,0.015594796,0.03178514
46,B,B,0.0884778,0.53464866,0.37687352
47,A,A,0.8844797,0.02994651,0.08557376
48,A,A,0.8579911,0.02305155,0.118957296
49,A,C,0.40093556,0.10090736,0.49815717
50,A,B,0.35090774,0.5722486,0.076843694
51,C,A,0.5375976,0.16435635,0.2980461
52,C,C,0.13908218,0.101414286,0.75950354
53,B,B,0.074214995,0.629475,0.29631004
54,B,B,0.010140916,0.9462385,0.043620594
55,B,B,0.18790834,0.6328506,0.17924108
56,A,A,0.9506897,0.021852998,0.027457431
57,B,B,0.03216583,0.8875367,0.0802975
58,B,A,0.48528537,0.2727145,0.2420001
59,A,C,0.44422624,0.092542775,0.4632309
60,B,B,0.15197898,0.75011665,0.097904354
61,C,C,0.2624479,0.027386755,0.7101653
62,C,B,0.052843824,0.49854156,0.44861457
63,C,C,0.05613703,0.039949007,0.903914
64,C,C,0.08680566,0.06113607,0.85205835
65,C,C,0.10749114,0.10143336,0.7910756
66,A,A,0.7936753,0.051635183,0.15468952
67,A,A,0.82711273,0.06073067,0.11215654
68,B,B,0.04375131,0.91236234,0.04388637
69,B,B,0.09658214,0.8340404,0.06937753
70,A,C,0.22953734,0.12918292,0.6412798
71,A,A,0.88190323,0.040158078,0.07793873
72,C,C,0.045876157,0.066000804,0.88812304
73,C,C,0.1461582,0.05558247,0.7982593
74,C,C,0.03740112,0.08628291,0.87631595
75,C,A,0.59593874,0.107241355,0.2968199
76,B,B,0.11571357,0.79646254,0.0878239
77,C,C,0.02551456,0.05400621,0.92047924
78,A,A,0.9485814,0.016069932,0.035348564
79,B,B,0.023990711,0.94569397,0.030315332
80,B,B,0.06810099,0.87808025,0.05381869
81,B,C,0.11263272,0.42947188,0.4578954
82,C,C,0.12229357,0.13903101,0.7386754
83,A,A,0.88167626,0.06619847,0.052125294
84,A,A,0.6712376,0.10126449,0.22749797
85,A,A,0.840465,0.0483897,0.11114535
86,B,B,0.08938761,0.8880384,0.022573974
87,A,A,0.8152668,0.0603637,0.12436948
88,A,A,0.867718,0.07080673,0.061475284
89,C,C,0.026862023,0.03922841,0.93390954
90,C,C,0.079078116,0.056873858,0.86404806
91,C,C,0.042541884,0.16173442,0.7957237
92,B,B,0.02313464,0.93916607,0.037699327
93,C,C,0.027040193,0.016883736,0.9560761
94,C,C,0.11435354,0.027659032,0.8579874
95,A,A,0.6978848,0.04030778,0.26180744
96,A,A,0.7216861,0.18523964,0.0930742
97,A,A,0.6749917,0.0718983,0.25311002
98,A,A,0.8815166,0.032055862,0.0864275
99,C,C,0.038933337,0.04290057,0.9181661
100,C,C,0.03839837,0.088201575,0.8734001
101,A,A,0.83857566,0.047019444,0.11440495
102,B,B,0.02224103,0.71234953,0.26540944
103,A,A,0.943725,0.015491884,0.04078313
104,A,A,0.86322534,0.071393795,0.0653809
105,B,B,0.14308734,0.82022065,0.036692027
106,A,A,0.9147372,0.025367074,0.05989563
107,C,C,0.053725976,0.12848122,0.81779283
108,B,B,0.1178199,0.7268258,0.15535437
109,C,C,0.063244894,0.12181134,0.81494373
110,A,A,0.60549146,0.058889337,0.33561924
111,B,B,0.021624194,0.83488244,0.14349344
112,C,C,0.068746716,0.19012187,0.74113137
113,C,C,0.039218873,0.13873507,0.82204604
114,A,A,0.92582685,0.011477443,0.06269572
115,C,C,0.08224999,0.04642696,0.87132305
116,A,A,0.9600399,0.010952149,0.029007938
117,A,A,0.85646677,0.03618697,0.10734629
118,A,A,0.5423646,0.21661043,0.24102493
119,A,A,0.9390946,0.021721918,0.039183535
120,A,A,0.9083383,0.035224356,0.05643729
121,A,A,0.8366037,0.016594965,0.14680134
122,C,C,0.026235027,0.037415773,0.93634915
123,C,C,0.07279191,0.047344957,0.87986314
124,B,B,0.046310578,0.49670392,0.4569855
125,A,A,0.6443025,0.14232452,0.21337296
126,B,B,0.06050632,0.90419126,0.0353024
127,B,B,0.04719944,0.72462535,0.22817522
128,B,B,0.3284526,0.37812617,0.29342118
129,A,A,0.89650357,0.059763394,0.04373299
130,C,C,0.31051007,0.037012674,0.65247726
131,C,C,0.2565977,0.040755395,0.70264685
132,A,A,0.900823,0.047764547,0.051412467
133,C,C,0.21603502,0.03508518,0.74887973
134,C,C,0.12704463,0.044858094,0.8280973
