,actual_label,predicted_label,prob_class_A,prob_class_B,prob_class_C
0,C,C,0.10672138,0.15187538,0.7414033
1,B,B,0.2959405,0.62116355,0.08289598
2,B,B,0.14694498,0.6954276,0.1576275
3,B,B,0.09530279,0.8531806,0.051516663
4,B,B,0.048016936,0.9306169,0.021366153
5,A,A,0.9711818,0.006792655,0.02202548
6,C,C,0.3442075,0.06548685,0.5903056
7,A,A,0.8610433,0.014274351,0.1246824
8,B,B,0.06746013,0.7635015,0.16903839
9,B,B,0.017890465,0.974957,0.0071525006
10,B,B,0.043894026,0.69957507,0.25653088
11,A,A,0.9731203,0.00400238,0.022877384
12,B,B,0.10643931,0.7029684,0.19059232
13,B,B,0.02556439,0.9582401,0.016195605
14,C,C,0.35587102,0.05431088,0.5898181
15,C,C,0.08718631,0.0774739,0.83533984
16,B,B,0.02881745,0.89499056,0.07619194
17,A,A,0.97691965,0.0036107854,0.01946957
18,B,A,0.8107685,0.04575825,0.14347331
19,C,C,0.17935136,0.25505066,0.565598
20,B,B,0.015585169,0.97411454,0.010300313
21,B,B,0.02025732,0.95918596,0.020556714
22,A,A,0.95027244,0.018053941,0.031673554
23,B,B,0.13218191,0.80011916,0.06769895
24,B,B,0.040215496,0.9248307,0.034953788
25,A,A,0.97373533,0.0050129094,0.02125177
26,B,B,0.031805992,0.8848633,0.08333059
27,A,A,0.9329322,0.01985724,0.047210507
28,B,B,0.06534036,0.89754564,0.037113976
29,B,B,0.05051923,0.74782825,0.20165245
30,B,B,0.057297383,0.5481205,0.3945821
31,C,A,0.9480562,0.0067031733,0.045240596
32,B,B,0.02724422,0.7939443,0.17881152
33,A,A,0.6837473,0.16077527,0.15547752
34,A,A,0.943967,0.009974386,0.04605857
35,B,B,0.11467688,0.83845246,0.04687067
36,B,B,0.019455073,0.932089,0.048455898
37,A,A,0.9514717,0.009136523,0.039391827
38,B,B,0.07835021,0.86491907,0.056730688
39,A,A,0.9678983,0.0042289263,0.027872805
40,C,C,0.041291047,0.21355103,0.74515796
41,C,C,0.35516536,0.041709807,0.6031248
42,A,A,0.9627665,0.003821299,0.033412214
43,A,A,0.91102797,0.021804875,0.067167155
44,C,C,0.13694099,0.20811689,0.6549421
45,C,B,0.041165207,0.5439487,0.41488606
46,B,B,0.10534971,0.4532043,0.44144595
47,A,A,0.90746117,0.033040594,0.05949827
48,B,B,0.049964257,0.9261067,0.023929028
49,A,A,0.96852195,0.0050669466,0.026411116
50,C,C,0.123177595,0.12713735,0.7496851
51,C,C,0.053006515,0.44784257,0.49915093
52,B,B,0.026419453,0.9555598,0.01802084
53,A,A,0.96209985,0.014323977,0.023576202
54,A,A,0.98577917,0.0028375238,0.011383408
55,B,B,0.09657927,0.832799,0.0706218
56,C,C,0.28666848,0.30304444,0.41028708
57,B,B,0.170085,0.71711326,0.11280174
58,C,A,0.44765568,0.4169971,0.13534722
59,C,C,0.11629619,0.15946119,0.7242426
60,B,B,0.010116549,0.95877254,0.031110821
61,C,B,0.035952516,0.8718319,0.09221551
62,C,C,0.036522426,0.33664975,0.6268278
63,B,B,0.09956288,0.85334647,0.04709064
64,A,A,0.7592817,0.07586769,0.16485053
65,B,B,0.019850094,0.96695197,0.013197924
66,B,B,0.010831874,0.97469306,0.014474985
67,C,A,0.52431476,0.10506253,0.37062266
68,C,C,0.20283484,0.08999407,0.70717114
69,C,C,0.40171158,0.0733598,0.5249286
70,A,C,0.26126638,0.34894267,0.389791
71,B,B,0.08715609,0.86679524,0.04604858
72,A,A,0.9468346,0.014791822,0.038373545
73,A,A,0.6197992,0.15437587,0.22582492
74,A,B,0.3732688,0.4812538,0.14547741
75,C,C,0.4597013,0.06230744,0.47799125
76,B,B,0.20511526,0.7141375,0.08074727
77,C,C,0.07070776,0.050643917,0.8786484
78,A,A,0.9819933,0.0015911189,0.016415639
79,C,C,0.13813809,0.10073547,0.7611265
80,B,B,0.15083411,0.7904274,0.058738522
81,C,C,0.19248222,0.16053806,0.6469797
82,C,B,0.3120281,0.57609135,0.11188062
83,C,C,0.078968406,0.045011286,0.8760204
84,C,C,0.23453535,0.0441745,0.72129023
85,C,C,0.04655155,0.043883592,0.9095648
86,B,B,0.050318345,0.9296661,0.020015541
87,B,B,0.0800852,0.89021546,0.0296993
88,A,A,0.90205127,0.022144582,0.07580413
89,A,A,0.8056923,0.048565675,0.14574206
90,C,C,0.08814295,0.201558,0.7102991
91,C,A,0.75252855,0.036629625,0.21084183
92,C,C,0.18776198,0.04515052,0.7670875
93,C,C,0.0399385,0.06423706,0.8958245
94,A,A,0.8976106,0.025166214,0.07722319
95,A,A,0.9341261,0.0076306574,0.05824321
96,B,B,0.005657281,0.98713106,0.007211674
97,A,C,0.48143363,0.036988445,0.48157793
98,A,A,0.9618744,0.008615804,0.029509831
99,B,B,0.055097766,0.90419036,0.04071195
100,C,B,0.14886664,0.49491748,0.3562158
101,C,C,0.081447355,0.20198059,0.71657205
102,B,B,0.053503,0.9242235,0.022273557
103,C,C,0.15188581,0.049004827,0.79910934
104,C,C,0.032109782,0.036616985,0.9312733
105,C,C,0.07166645,0.19856168,0.72977185
106,A,A,0.9596104,0.0068832063,0.033506352
107,C,B,0.17898083,0.45794195,0.36307722
108,C,B,0.042694915,0.5348347,0.42247042
109,A,A,0.9406883,0.014851769,0.04445984
110,B,B,0.019113401,0.96733,0.01355663
111,B,B,0.019081624,0.9612845,0.019633813
112,B,B,0.08119297,0.72569656,0.19311053
113,C,A,0.49526837,0.053794876,0.4509367
114,C,C,0.18951991,0.0334508,0.77702934
115,B,B,0.08921745,0.87481296,0.035969567
116,A,A,0.8970872,0.018077368,0.084835425
117,B,B,0.042747602,0.8298176,0.12743469
118,B,B,0.020928038,0.95369256,0.025379496
119,B,B,0.06856195,0.85671633,0.07472174
120,A,A,0.97812927,0.005412799,0.016457872
121,B,B,0.031200448,0.94295543,0.025844106
122,C,C,0.10908361,0.0892534,0.801663
123,B,B,0.008773155,0.96821827,0.023008633
124,C,C,0.15074089,0.08583114,0.76342803
125,B,B,0.17183955,0.72592044,0.102240056
126,B,B,0.031420566,0.92169774,0.04688165
127,A,C,0.3111485,0.33813325,0.35071817
128,B,B,0.3328681,0.5636467,0.103485234
129,B,B,0.06211252,0.8907524,0.04713509
130,A,A,0.92766976,0.01834931,0.053980853
131,A,A,0.9614845,0.00825165,0.03026386
132,C,B,0.033075638,0.8338976,0.1330267
133,B,B,0.015422305,0.9761741,0.008403578
134,C,C,0.12796488,0.25314778,0.6188873
135,C,C,0.11325798,0.17286065,0.7138814
136,B,B,0.05478764,0.91333896,0.031873465
137,B,B,0.08902346,0.8560399,0.05493668
138,A,A,0.93298894,0.012540342,0.054470737
139,C,C,0.047222614,0.12669203,0.8260854
140,C,C,0.1727163,0.022970308,0.80431336
141,A,A,0.94827193,0.0033794008,0.04834859
142,A,A,0.9915269,0.0018683098,0.006604911
143,B,B,0.0608538,0.9033816,0.035764717
144,C,C,0.032262467,0.013413193,0.9543243
145,C,A,0.7808349,0.060664833,0.15850027
146,A,A,0.92220557,0.02105526,0.056739114
147,B,B,0.02590782,0.80148774,0.17260443
148,A,A,0.95423234,0.0039773844,0.04179023
149,A,A,0.88985056,0.023317808,0.08683162
150,C,C,0.33334398,0.14749517,0.51916087
151,A,A,0.98855686,0.001884729,0.009558426
