layers,neuronsPerLayer,seed,trainLoss,testLoss,epochs
1,4,77,0.227557,3.058174,600
1,8,77,0.048258,1.862508,300
1,16,77,0.022431,2.337597,400
1,32,77,0.005248,2.481067,300
2,32,77,0.001367,3.229768,300
2,64,77,0.001083,2.983955,300
2,128,77,0.001741,2.810819,300
2,256,77,0.00335,2.57979,145
2,512,77,0.025131,2.549288,300
2,1024,77,0.001475,2.668118,300
4,32,77,0.003702,2.752612,300
4,64,77,0.001252,2.669052,300
4,128,77,0.001288,2.486311,300
4,256,77,0.002038,2.183229,300
4,512,77,0.009792,2.300876,124
4,1024,77,0.001407,2.42369,251
6,32,77,0.004067,2.165262,300
6,64,77,0.008514,2.607476,300
6,128,77,0.009439,2.050535,300
6,256,77,0.035086,1.959965,300
6,512,77,0.026403,2.2234,300
6,1024,77,0.020964,2.744283,190
8,32,77,0.146198,2.464246,300
8,64,77,0.04642,2.794215,300
8,128,77,0.060636,1.920061,150
8,256,77,0.090964,1.201593,300
8,512,77,0.061766,4.095812,90
8,1024,77,0.577223,1.366823,43
10,32,77,0.178145,2.328489,300
10,64,77,0.088772,1.844701,300
10,128,77,0.073658,1.810307,300
10,256,77,0.035379,2.124274,300
10,512,77,0.016845,2.173817,300
10,1024,77,0.072115,2.68467,300
1,4,78,1.098509,1.098567,300
1,8,78,1.098508,1.098568,300
1,16,78,0.341862,1.884984,300
1,32,78,0.013687,2.009101,300
2,32,78,0.000845,3.226051,300
2,64,78,0.001358,3.244524,300
2,128,78,0.00454,2.63807,200
2,256,78,0.001549,2.799838,300
2,512,78,0.00208,2.624477,300
2,1024,78,0.009693,2.142375,250
4,32,78,0.000841,2.666652,300
4,64,78,0.002354,2.280205,300
4,128,78,0.000964,2.438751,300
4,256,78,0.000772,2.346179,300
4,512,78,0.009792,2.300876,124
4,1024,78,0.082902,1.926532,50
6,32,78,0.060172,1.960372,300
6,64,78,0.076415,1.735581,300
6,128,78,0.041727,1.742224,300
6,256,78,0.019827,1.979815,145
6,512,78,0.048114,1.626994,300
6,1024,78,0.018934,2.235911,199
8,32,78,0.048158,2.079505,300
8,64,78,0.052023,1.747097,300
8,128,78,0.045814,1.589767,300
8,256,78,0.043143,1.870236,300
8,512,78,0.044169,2.087983,300
8,1024,78,0.038362,2.017669,300
10,32,78,0.180393,1.589003,300
10,64,78,0.225018,1.448131,300
10,128,78,0.029378,2.044634,300
10,256,78,0.074483,1.997751,300
10,512,78,0.030281,2.190572,300
10,1024,78,0.017877,2.515152,250
