layers,neuronsPerLayer,seed,trainLoss,testLoss,epochs
1,4,77,0.043356,4.103636,800
1,8,77,0.072484,3.533351,800
1,16,77,0.003586,2.073004,400
1,32,77,1.098279,1.099139,300
2,32,77,0.000308,2.792101,300
2,64,77,0.000192,2.806115,300
2,128,77,0.000231,2.750745,300
2,256,77,0.000191,2.93718,300
2,512,77,0.000136,3.062359,200
2,1024,77,0.000148,2.881902,225
4,32,77,0.000516,4.422906,300
4,64,77,0.000213,2.89048,290
4,128,77,0.000066,3.407617,300
4,256,77,0.000101,3.171758,300
4,512,77,0.000051,3.216377,300
4,1024,77,0.00109,3.785141,300
6,32,77,0.002308,3.898845,300
6,64,77,0.005576,3.503822,125
6,128,77,0.000069,4.902979,300
6,256,77,0.000008,4.305943,190
6,512,77,0.000102,3.226908,130
6,1024,77,0.000002,7.572511,300
8,32,77,0.004555,4.464536,190
8,64,77,0.005284,3.687477,300
8,128,77,0.006395,3.336061,80
8,256,77,0.002608,3.508752,200
8,512,77,0.0000002,5.4504,300
8,1024,77,0.00215,5.405655,270
10,32,77,0.003206,4.217388,300
10,64,77,0.006041,5.193736,295
10,128,77,0.005616,4.079465,300
10,256,77,0.004335,2.846498,200
10,512,77,0.00446,4.226058,100
10,1024,77,0.00000005,13.158588,300
1,4,78,1.098317,1.09914,300
1,8,78,1.098279,1.099144,300
1,16,78,0.037221,4.816925,1000
1,32,78,0.005554,1.882593,300
2,32,78,0.000616,2.574936,300
2,64,78,0.00018,2.867617,300
2,128,78,0.000115,3.030425,300
2,256,78,0.000076,3.129543,300
2,512,78,0.0005,3.150629,300
2,1024,78,0.00012,3.014328,250
4,32,78,0.000211,2.950781,300
4,64,78,0.00013,3.185602,300
4,128,78,0.000054,3.366173,290
4,256,78,0.000078,3.190211,300
4,512,78,0.000028,3.5192,300
4,1024,78,0.000052,3.498841,190
6,32,78,0.000172,3.216365,300
6,64,78,0.000189,2.899957,300
6,128,78,0.000038,4.743878,250
6,256,78,0.004019,2.984938,250
6,512,78,0.000016,3.573087,300
6,1024,78,0.003922,4.134413,155
8,32,78,0.001759,4.227275,300
8,64,78,0.0000002,5.4504,300
8,128,78,0.001035,3.47087,300
8,256,78,0.003475,3.384647,270
8,512,78,0.000000009,7.401363,300
8,1024,78,0.004475,3.980362,140
10,32,78,0.000492,4.744444,300
10,64,78,0.00969,4.456746,300
10,128,78,0.004774,4.498777,100
10,256,78,0.003479,4.089157,175
10,512,78,0.004066,4.139451,177
10,1024,78,0.01009,5.102423,300
