layers,neuronsPerLayer,seed,trainLoss,testLoss,epochs
1,4,77,0.011556,2.359857,500
1,8,77,0.022147,1.447598,300
1,16,77,0.043203,1.728127,500
1,32,77,0.012189,2.574061,600
2,32,77,0.001376,2.14728,300
2,64,77,0.000284,2.462324,300
2,128,77,0.000081,2.755169,300
2,256,77,0.00004,2.93473,300
2,512,77,0.000015,3.198725,300
2,1024,77,0.000006,3.487569,300
4,32,77,0.00031,4.379214,300
4,64,77,0.000078,2.973649,300
4,128,77,0.000008,4.26739,300
4,256,77,0.0000008,4.597413,300
4,512,77,0.0000004,4.76379,300
4,1024,77,0.0000001,5.474543,300
6,32,77,0.000064,5.366531,300
6,64,77,0.000004,6.346349,300
6,128,77,0.000002,6.971103,300
6,256,77,0.0000007,6.03936,300
6,512,77,0.0000001,5.908305,300
6,1024,77,0.00000002,6.795309,300
8,32,77,0.000029,5.51467,300
8,64,77,0.000006,6.406683,300
8,128,77,0.0000007,7.827183,300
8,256,77,0.0000001,7.753868,300
8,512,77,0.000000006,10.621145,300
8,1024,77,0.000000003,8.511478,300
10,32,77,0.00004,5.622564,300
10,64,77,0.004695,8.185954,290
10,128,77,0.0000007,8.738018,300
10,256,77,0.000000003,11.497895,300
10,512,77,0.0000000009,10.753812,300
10,1024,77,0.0000001,13.70603,300
1,4,78,1.097115,1.100307,300
1,8,78,1.097088,1.100338,300
1,16,78,1.096999,1.100331,300
1,32,78,0.005191,1.725089,300
2,32,78,0.000894,2.239808,300
2,64,78,0.000285,2.587747,300
2,128,78,0.000072,2.817218,300
2,256,78,0.000018,3.168236,300
2,512,78,0.000013,3.253268,300
2,1024,78,0.000005,3.5288,300
4,32,78,0.000103,2.995702,300
4,64,78,0.000446,2.472214,300
4,128,78,0.000006,3.686936,300
4,256,78,0.000001,4.446488,300
4,512,78,0.0000002,5.657445,300
4,1024,78,0.0000001,5.584225,300
6,32,78,0.000025,4.551579,300
6,64,78,0.000025,3.515066,300
6,128,78,0.000002,4.245366,300
6,256,78,0.00000005,7.335581,300
6,512,78,0.00000003,6.995529,300
6,1024,78,0.000001,4.937726,100
8,32,78,0.000076,5.07796,300
8,64,78,0.000009,6.093455,300
8,128,78,0.000098,6.906811,300
8,256,78,0.00000001,9.355142,300
8,512,78,0.00000003,11.211224,300
8,1024,78,0.000000001,8.744157,300
10,32,78,0.00027,5.09046,300
10,64,78,0.000471,4.352734,300
10,128,78,0.000002,7.742492,300
10,256,78,0.00000001,7.973738,300
10,512,78,0.00000007,10.07775,300
10,1024,78,0.000000002,13.579587,300
