strain,date,subgroup
leaf_0,349.409232171575,A
leaf_1,347.36031785032,C
leaf_2,319.796853971627,A
leaf_3,290.291935504066,B
leaf_4,289.308050705084,B
leaf_5,288.993716329686,A
leaf_6,283.900238526097,B
leaf_7,281.51648169234,C
leaf_8,276.407585766796,B
leaf_9,276.283589783492,B
leaf_10,276.262403789114,A
leaf_11,275.371743994181,C
leaf_12,274.03593791723,C
leaf_13,272.452806456228,B
leaf_14,269.559853735112,B
leaf_15,266.588672873123,B
leaf_16,265.790806906862,B
leaf_17,264.820880808465,C
leaf_18,263.798732461705,C
leaf_19,263.279130009284,A
leaf_20,262.705342689076,C
leaf_21,261.753367700871,B
leaf_22,260.920831096484,C
leaf_23,259.935524790106,C
leaf_24,258.167698934142,A
leaf_25,255.482440388796,A
leaf_26,254.518939310723,B
leaf_27,254.291289949823,B
leaf_28,253.220645528626,B
leaf_29,252.463446656962,A
leaf_30,251.230565783163,C
leaf_31,250.814949407482,B
leaf_32,249.983411540039,C
leaf_33,249.870394626354,B
leaf_34,249.415545978592,C
leaf_35,249.041209630605,B
leaf_36,246.978723911614,C
leaf_37,246.847898214914,B
leaf_38,245.760197139266,B
leaf_39,245.275680555573,C
leaf_40,245.261873814577,B
leaf_41,245.113121469489,A
leaf_42,244.655981694315,B
leaf_43,244.629451542815,B
leaf_44,244.003469270086,C
leaf_45,243.983502083451,A
leaf_46,243.920966153421,B
leaf_47,243.148006703869,B
leaf_48,242.531034616552,A
leaf_49,241.347050732739,B
leaf_50,241.166685846585,C
leaf_51,241.043190885629,A
leaf_52,240.926535568425,A
leaf_53,240.505645982296,B
leaf_54,240.491277916306,C
leaf_55,240.396987652156,B
leaf_56,240.371524929737,B
leaf_57,240.33502629021,A
leaf_58,238.709373266438,B
leaf_59,238.633566574441,A
leaf_60,238.630874330335,C
leaf_61,238.182062093709,B
leaf_62,237.692180873399,B
leaf_63,237.496441478258,B
leaf_64,236.839585413657,B
leaf_65,236.703043458215,B
leaf_66,236.208387319425,B
leaf_67,235.869741789609,A
leaf_68,235.814205129116,C
leaf_69,235.113958742386,B
leaf_70,234.568874162294,B
leaf_71,234.312102903154,C
leaf_72,234.142633972832,C
leaf_73,234.008712381945,C
leaf_74,233.941252386462,A
leaf_75,233.870988067746,A
leaf_76,233.856671627361,A
leaf_77,233.750924897054,A
leaf_78,233.226767906004,B
leaf_79,233.113390883982,B
leaf_80,233.07221551125,C
leaf_81,232.71463454275,B
leaf_82,232.684176796142,C
leaf_83,232.612941701485,C
leaf_84,231.286988507819,B
leaf_85,231.205277467104,B
leaf_86,231.200223788755,B
leaf_87,231.178009902078,C
leaf_88,230.796870069293,C
leaf_89,230.68151730191,A
leaf_90,230.501505070474,B
leaf_91,230.471757760804,B
leaf_92,230.167517273572,C
leaf_93,230.010973021976,A
leaf_94,229.436807931523,B
leaf_95,229.395109021303,A
leaf_96,228.716114704839,C
leaf_97,228.68640925267,B
leaf_98,228.677115526098,A
leaf_99,228.629077038701,B
leaf_100,228.55513490359,C
leaf_101,228.500781348167,B
leaf_102,228.422581680444,C
leaf_103,228.328421490833,C
leaf_104,227.96270475852,A
leaf_105,227.886387489625,B
leaf_106,227.78639749827,A
leaf_107,227.542918897268,C
leaf_108,227.493336367252,B
leaf_109,227.396122923934,B
leaf_110,227.305739948938,B
leaf_111,227.235221402716,B
leaf_112,227.215461667977,A
leaf_113,227.187766963488,C
leaf_114,227.176158956421,B
leaf_115,226.901709160536,C
leaf_116,226.795818676696,A
leaf_117,226.633228677513,C
leaf_118,226.544103388967,A
leaf_119,226.52552035117,C
leaf_120,226.4498551039,B
leaf_121,226.285752653406,A
leaf_122,225.762892381656,C
leaf_123,225.692567635579,B
leaf_124,225.594006929883,C
leaf_125,225.540344084029,B
leaf_126,225.523726530681,A
leaf_127,225.487444904276,A
leaf_128,225.290974692582,B
leaf_129,225.214988687785,B
leaf_130,225.116522001631,A
leaf_131,225.083464163538,A
leaf_132,224.802423536731,B
leaf_133,224.739436110438,A
leaf_134,224.707169798838,A
leaf_135,224.510146254362,C
leaf_136,224.498984425673,A
leaf_137,224.466166034086,C
leaf_138,224.347257944428,B
leaf_139,224.051917895801,A
leaf_140,223.900051071584,B
leaf_141,223.843827329743,B
leaf_142,223.832763437051,A
leaf_143,223.796821300806,C
leaf_144,223.76500122639,B
leaf_145,223.69841426811,A
leaf_146,223.696517063981,A
leaf_147,223.693895975222,B
leaf_148,223.584619636569,C
leaf_149,223.371157607485,A
leaf_150,223.259020197247,B
leaf_151,223.234724603982,A
leaf_152,223.18471621379,B
leaf_153,222.776670437206,C
leaf_154,222.616203706274,A
leaf_155,222.478092226383,B
leaf_156,222.42372366373,A
leaf_157,222.40864763461,A
leaf_158,222.266344385624,B
leaf_159,222.211655750357,C
leaf_160,222.205565335826,B
leaf_161,222.173597441166,C
leaf_162,222.129580906157,B
leaf_163,221.778668830148,B
leaf_164,221.565089813136,A
leaf_165,221.507227232657,B
leaf_166,221.370861232216,A
leaf_167,221.341690861405,B
leaf_168,221.1901241704,A
leaf_169,221.012693338973,B
leaf_170,220.973952294904,B
leaf_171,220.747258701107,B
leaf_172,220.577703162625,A
leaf_173,220.537614034338,B
leaf_174,220.45206288457,C
leaf_175,220.359081091573,A
leaf_176,220.341605758797,B
leaf_177,220.2751571982,B
leaf_178,220.109176232091,B
leaf_179,219.9793854882,A
leaf_180,219.837585241175,B
leaf_181,219.807363973355,B
leaf_182,219.706712453752,C
leaf_183,219.666083128789,B
leaf_184,219.605756944399,B
leaf_185,219.59209737173,C
leaf_186,219.455464323148,C
leaf_187,219.444703257976,B
leaf_188,219.409574574926,B
leaf_189,219.271243966549,A
leaf_190,219.012821631146,B
leaf_191,218.999957417782,B
leaf_192,218.940742358961,B
leaf_193,218.927118784906,A
leaf_194,218.727693903071,C
leaf_195,218.601430773055,B
leaf_196,218.57175220135,A
leaf_197,218.502768910317,B
leaf_198,218.418388148124,A
leaf_199,218.365206104839,A
leaf_200,218.156402908762,C
leaf_201,218.064111318845,C
leaf_202,218.043095719975,B
leaf_203,218.011679354615,B
leaf_204,217.77592557629,A
