,actual_label,predicted_label,prob_class_A,prob_class_B,prob_class_C
0,A,A,0.937676,0.025364311,0.036959775
1,A,A,0.8314599,0.05462202,0.113918126
2,C,C,0.323213,0.067904964,0.608882
3,C,C,0.24419911,0.26491243,0.4908885
4,B,B,0.16569677,0.5200353,0.31426796
5,B,A,0.4788134,0.34505898,0.17612763
6,C,C,0.07992791,0.11806939,0.80200267
7,C,C,0.059060674,0.026885299,0.914054
8,A,A,0.9001913,0.048171453,0.051637243
9,A,A,0.6732831,0.029885277,0.2968316
10,A,C,0.40836006,0.060130402,0.53150946
11,A,A,0.89782846,0.032331225,0.06984031
12,A,A,0.85085684,0.033586346,0.115556836
13,A,A,0.73512894,0.051756643,0.21311438
14,C,A,0.63286906,0.255167,0.11196389
15,C,A,0.76923466,0.06424757,0.1665178
16,C,C,0.13957736,0.19353037,0.66689223
17,A,A,0.90892136,0.027663333,0.06341533
18,B,A,0.6320963,0.30158776,0.06631597
19,B,C,0.39783305,0.19378445,0.40838242
20,C,C,0.06334904,0.07379703,0.86285394
21,A,A,0.7474599,0.054590736,0.1979494
22,B,B,0.057038836,0.6723109,0.27065027
23,A,C,0.35010624,0.10208621,0.5478075
24,B,C,0.40300947,0.08274414,0.5142464
25,B,C,0.18230563,0.23158632,0.586108
26,B,B,0.08304489,0.88034964,0.036605436
27,B,B,0.37288606,0.5412277,0.08588622
28,A,C,0.43487704,0.068742506,0.4963805
29,C,C,0.06040872,0.09019885,0.8493924
30,B,B,0.08352716,0.76427907,0.15219377
31,B,B,0.036693275,0.9539296,0.009377159
32,C,C,0.04475615,0.13760106,0.8176428
33,B,A,0.77062994,0.1433067,0.08606331
34,B,B,0.018161137,0.8222722,0.15956669
35,B,B,0.03531905,0.8894783,0.07520263
36,A,B,0.044574846,0.5404409,0.4149843
37,C,C,0.02606126,0.043852277,0.9300865
38,A,B,0.097866856,0.728914,0.1732191
39,C,B,0.0714219,0.8795429,0.049035188
40,A,A,0.56541085,0.07797582,0.35661337
41,C,C,0.33061677,0.071601905,0.5977813
42,C,B,0.029069144,0.9506283,0.020302584
43,C,A,0.4557024,0.13556208,0.40873554
44,C,C,0.43068773,0.044202585,0.5251097
45,A,C,0.44637948,0.07009618,0.48352423
46,B,C,0.058567204,0.15662088,0.7848119
47,B,B,0.03477755,0.582046,0.38317654
48,B,B,0.09158796,0.818311,0.090101056
49,A,A,0.78205264,0.065432556,0.15251473
50,B,C,0.033102375,0.053617682,0.91327995
51,B,B,0.092945926,0.51709104,0.38996297
52,A,C,0.17440309,0.060564995,0.76503193
53,A,A,0.8908637,0.026585005,0.082551315
54,A,B,0.13270599,0.5023953,0.3648988
55,B,B,0.09455879,0.48542398,0.42001727
56,B,B,0.028362803,0.7935493,0.1780879
57,A,A,0.8948911,0.046167932,0.05894093
58,B,B,0.029584443,0.9624418,0.007973746
59,B,C,0.10522693,0.28667814,0.60809493
60,B,B,0.4073359,0.5283412,0.06432288
61,A,A,0.81626517,0.11622649,0.06750839
62,B,B,0.11530044,0.81991285,0.064786725
63,B,C,0.19056259,0.08965097,0.7197864
64,B,C,0.3046218,0.077781774,0.61759645
65,C,A,0.86085397,0.028174764,0.11097124
66,B,B,0.041277364,0.949611,0.009111659
67,C,B,0.042834297,0.86509776,0.09206801
68,A,A,0.56307334,0.09781139,0.33911526
69,B,B,0.4260416,0.5383854,0.035572942
70,C,C,0.30186453,0.121928856,0.57620656
71,C,C,0.03625264,0.045655932,0.9180915
72,B,B,0.20425755,0.59329945,0.20244303
73,B,B,0.06179438,0.85507196,0.08313373
74,A,B,0.088215314,0.8446149,0.06716985
75,B,A,0.63488543,0.24110782,0.12400675
76,A,A,0.88246787,0.063978836,0.0535533
77,C,C,0.17793514,0.41036192,0.41170293
78,A,A,0.7043625,0.046403322,0.24923414
79,B,B,0.03250522,0.49860618,0.46888864
80,B,B,0.08480258,0.58520705,0.3299904
